ID,St_ID,DOI,Types_of_Lit_Sources,sp.,_ontinent,Place,Hab.,Latitude,Longitude,Instances_Count,vivo_situ,temp,tmin_E,topt_E,tmax_E,tmin_1st_L,topt_1st_L,tmax_1st_L,tmin_2nd_L,topt_2nd_L,tmax_2nd_L,tmin_3rd_L,topt_3rd_L,tmax_3rd_L,tmin_P,topt_P,tmax_P,K,P,Humid.,Food,Preovi_per, Ovi_rate,Postovi_per,E_dev,E_hatch,Dev_1st_inst,Dev_2nd_inst,Dev_3rd_inst,Dev_ P,L_surv,Pr_sex_rat,Repr_rate,Ovip_fem,Fert_fem,Spr_of_rep,Spr_of_rep,Spr_of_rep,Lif_exp_post_min,Lif_exp_post_max,Lif_exp_post_mean,N_gen_min,N_gen_max,N_gen_M,Gen_tim_min,Gen_tim_max,Gen_tim_M,M_sex_rep_rate_min,M_sex_rep_rate_max,M_sex_rep_rate_M,Doubl_tim,Intr_rate_nat_incr,Im_flig_term,Dorm.,Dorm_d,Surv_perc,Vert_distr_min,Vert_distr_max,Vert_distr_M
1,ID_1,https://doi.org/10.1093/aesa/85.2.200,peer_reviewed,Anomalochrysa_frater,North_America,Volcanoes_National_Park__on_the_Island_of_Hawaii,NA,19.43,-155.255,262.54,in_situ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,122.1,51.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,ID_1,https://doi.org/10.1093/aesa/85.2.200,peer_reviewed,Anomalochrysa_frater,North_America,Volcanoes_National_Park__on_the_Island_of_Hawaii,NA,19.43,-155.255,43.75,in_situ,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9,NA,14.1,18.4,14.8,54.1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ID_1,https://doi.org/10.1093/aesa/85.2.200,peer_reviewed,Anomalochrysa_frater,North_America,Volcanoes_National_Park__on_the_Island_of_Hawaii,NA,19.43,-155.255,46.77,in_situ,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,7,5.1,7.9,21.3,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ID_1,https://doi.org/10.1093/aesa/85.2.200,peer_reviewed,Anomalochrysa_frater,North_America,Volcanoes_National_Park__on_the_Island_of_Hawaii,NA,19.43,-155.255,69.09,in_situ,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,4.5,3.9,4.1,14.3,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ID_1,https://doi.org/10.1093/aesa/85.2.200,peer_reviewed,Anomalochrysa_frater,North_America,Volcanoes_National_Park__on_the_Island_of_Hawaii,NA,19.43,-155.255,32.35,in_situ,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,4.2,3.5,3.9,12,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,ID_1,https://doi.org/10.1093/aesa/85.2.200,peer_reviewed,Anomalochrysa_frater,North_America,Volcanoes_National_Park__on_the_Island_of_Hawaii,NA,19.43,-155.255,70.59,in_situ,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.9,NA,NA,NA,NA,NA,NA,3,NA,3,3.5,3.8,12.5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ID_2,https://doi.org/10.14411/eje.2006.043 ,peer_reviewed,Anomalochrysa_hepatica,North_America,Island_of_Hawaii,NA,19.617,-155.55,193,in_situ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1485,852.5,NA,NA,NA,NA,NA,NA,350,2020,1185
8,ID_2,https://doi.org/10.14411/eje.2006.043 ,peer_reviewed,Anomalochrysa_hepatica,North_America,Island_of_Hawaii,NA,19.617,-155.55,38,in_situ,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,NA,NA,6,NA,5,4.7,6.1,19.9,97,0.58,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,ID_2,https://doi.org/10.14411/eje.2006.043 ,peer_reviewed,Anomalochrysa_hepatica,North_America,Island_of_Hawaii,NA,19.617,-155.55,55,in_situ,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,5,NA,4,4,4.3,15.8,88.3,0.47,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ID_2,https://doi.org/10.14411/eje.2006.043 ,peer_reviewed,Anomalochrysa_hepatica,North_America,Island_of_Hawaii,NA,19.617,-155.55,24,in_situ,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,3.4,NA,2.7,3.2,3.9,13.8,66.7,0.62,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
